DateTime,open,high,low,close,close_moving_avg,std,upper_bb,lower_bb
2025-02-28 12:34:00,2222645,2222735,2221995,2222685,2223791.75,860.2222402551515,2225512.1944805104,2222071.3055194896
2025-02-28 12:35:00,2222780,2222780,2221105,2221200,2223739.0,983.0023826057297,2225705.0047652116,2221772.9952347884
2025-02-28 12:36:00,2221050,2221790,2220615,2220640,2223651.0,1170.1457399100238,2225991.29147982,2221310.70852018
2025-02-28 12:37:00,2220590,2220775,2220025,2220095,2223510.5,1408.795584887322,2226328.0911697745,2220692.9088302255
2025-02-28 12:38:00,2220125,2220350,2219530,2219530,2223328.5,1666.628411841069,2226661.756823682,2219995.243176318
2025-02-28 12:39:00,2219495,2219660,2217945,2218155,2223057.5,2026.286141272706,2227110.0722825453,2219004.9277174547
2025-02-28 12:40:00,2218155,2218795,2217545,2218435,2222773.0,2255.053039403811,2227283.1060788077,2218262.8939211923
2025-02-28 12:41:00,2218465,2218590,2218010,2218170,2222490.0,2461.1571946627346,2227412.3143893257,2217567.6856106743
2025-02-28 12:42:00,2218210,2218210,2217470,2217935,2222204.5,2644.481791838716,2227493.4635836775,2216915.5364163225
2025-02-28 12:43:00,2217975,2218550,2217865,2218315,2221922.5,2746.728915790595,2227415.957831581,2216429.042168419
2025-02-28 12:44:00,2218320,2218335,2217395,2217395,2221550.25,2833.641173936756,2227217.5323478733,2215882.9676521267
2025-02-28 12:45:00,2217455,2217455,2216760,2216910,2221186.5,2942.471705359331,2227071.443410719,2215301.556589281
2025-02-28 12:46:00,2216925,2217600,2216750,2217560,2220837.75,2938.0549755700386,2226713.85995114,2214961.64004886
2025-02-28 12:47:00,2217505,2217580,2217220,2217520,2220500.25,2910.599266835507,2226321.448533671,2214679.051466329
2025-02-28 12:48:00,2217505,2217950,2217145,2217280,2220117.0,2796.9604742890056,2225710.920948578,2214523.079051422
2025-02-28 12:49:00,2217250,2218045,2217180,2217585,2219766.5,2641.1551001703856,2225048.8102003406,2214484.1897996594
2025-02-28 12:50:00,2217480,2217695,2217045,2217305,2219390.5,2408.1150632585895,2224206.7301265174,2214574.2698734826
2025-02-28 12:51:00,2217300,2217425,2216680,2216840,2219016.0,2170.165285967709,2223356.3305719355,2214675.6694280645
2025-02-28 12:52:00,2216760,2217330,2216670,2217260,2218667.25,1819.424052159697,2222306.0981043195,2215028.4018956805
2025-02-28 12:53:00,2217245,2217325,2215445,2215860,2218333.75,1680.086835944523,2221693.923671889,2214973.576328111
2025-02-28 12:54:00,2215700,2215875,2214830,2215335,2217966.25,1468.7829503576797,2220903.8159007155,2215028.6840992845
2025-02-28 12:55:00,2215260,2215340,2214110,2214335,2217623.0,1475.4405229762172,2220573.8810459524,2214672.1189540476
2025-02-28 12:56:00,2214205,2214295,2212415,2212495,2217215.75,1705.0793120921423,2220625.9086241843,2213805.5913758157
2025-02-28 12:57:00,2212395,2212730,2211060,2211280,2216775.0,2029.9915737441022,2220834.983147488,2212715.016852512
2025-02-28 12:58:00,2211235,2212200,2210875,2212110,2216404.0,2172.990057379936,2220749.98011476,2212058.01988524
2025-02-28 12:59:00,2212150,2212700,2211840,2211980,2216095.25,2343.131886913779,2220781.5137738273,2211408.9862261727
2025-02-28 13:00:00,2212000,2212015,2210920,2211030,2215725.0,2531.4412370901464,2220787.8824741803,2210662.1175258197
2025-02-28 13:01:00,2210845,2212075,2210620,2212075,2215420.25,2587.853446492809,2220595.956892986,2210244.543107014
2025-02-28 13:02:00,2211980,2213510,2211835,2213335,2215190.25,2556.817756405824,2220303.8855128116,2210076.6144871884
2025-02-28 13:03:00,2213245,2213500,2212415,2212830,2214916.0,2497.488001129906,2219910.9760022596,2209921.0239977404
2025-02-28 13:04:00,2212740,2213720,2212730,2213635,2214728.0,2441.959092721402,2219611.9181854427,2209844.0818145573
2025-02-28 13:05:00,2213555,2213865,2213265,2213545,2214559.75,2399.2578210987754,2219358.2656421973,2209761.2343578027
2025-02-28 13:06:00,2213460,2214070,2213420,2213960,2214379.75,2295.1037558242156,2218969.9575116485,2209789.5424883515
2025-02-28 13:07:00,2213890,2214555,2213705,2213725,2214190.0,2175.581591932667,2218541.163183865,2209838.836816135
2025-02-28 13:08:00,2213520,2214645,2213520,2214480,2214050.0,2052.9048738436486,2218155.809747687,2209944.190252313
2025-02-28 13:09:00,2214400,2214830,2214190,2214535,2213897.5,1882.7167520419632,2217662.933504084,2210132.066495916
2025-02-28 13:10:00,2214465,2214505,2212650,2212810,2213672.75,1715.3973569128525,2217103.544713826,2210241.955286174
2025-02-28 13:11:00,2212705,2214535,2212705,2214315,2213546.5,1555.489515097185,2216657.479030194,2210435.520969806
2025-02-28 13:12:00,2214160,2214210,2213140,2213195,2213343.25,1287.1564692429986,2215917.562938486,2210768.937061514
2025-02-28 13:13:00,2213130,2214190,2213130,2213510,2213225.75,1144.6974720990136,2215515.144944198,2210936.355055802
2025-02-28 13:14:00,2213405,2213545,2212310,2212620,2213090.0,1037.3485938976528,2215164.6971877953,2211015.3028122047
2025-02-28 13:15:00,2212390,2212995,2212210,2212785,2213012.5,996.5367661627212,2215005.573532325,2211019.426467675
2025-02-28 13:16:00,2212775,2213050,2212230,2212700,2213022.75,991.9776565280575,2215006.7053130562,2211038.7946869438
2025-02-28 13:17:00,2212755,2214485,2212715,2213995,2213158.5,924.403221428704,2215007.3064428573,2211309.6935571427
