,arima_forecast,garch_forecast
297,3.424495316296464e+60,1.3307119841833012e+60
298,5.428921412822844e+60,2.109604516278239e+60
299,8.606578483652639e+60,3.344398538525908e+60
300,1.364418225327693e+61,5.3019423774399146e+60
301,2.163039699390844e+61,8.405276060814021e+60
302,3.429110410788552e+61,1.3325053467028916e+61
303,5.43623781509417e+61,2.112447570008588e+61
304,8.618177323565373e+61,3.348905688879143e+61
305,1.3662570127854093e+62,5.309087653693337e+61
306,2.165954766190708e+62,8.416603611203168e+61
307,3.4337317249116236e+62,1.3343011260859096e+62
308,5.443564077471792e+62,2.115294455241217e+62
309,8.629791794903253e+62,3.3534189133901302e+62
310,1.3680982783244443e+63,5.316242559431411e+62
311,2.1688737615428088e+63,8.42794642740832e+62
312,3.438359267047697e+63,1.3360993255894925e+63
313,5.4509002132438914e+63,2.1181451771397325e+63
314,8.641421918732301e+63,3.357938220244837e+63
315,1.3699420252844366e+64,5.3234071076315145e+63
316,2.1717966907415425e+64,8.43930453000278e+63
317,3.4429930455900875e+64,1.3378999484751678e+64
318,5.45824623571656e+64,2.120999740874698e+64
319,8.653067716146935e+64,3.3624636176402653e+64
320,1.3717882570095273e+65,5.33058131128852e+64
321,2.174723559088443e+65,8.45067793958758e+64
322,3.447633068943422e+65,1.3397029980088577e+65
323,5.465602158213823e+65,2.123858151623648e+65
324,8.664729208269998e+65,3.3669951137844627e+65
325,1.3736369768483626e+66,5.337765183414811e+65
326,2.177654371892187e+66,8.462066676791514e+65
327,3.452279345523654e+66,1.3415084774608874e+66
328,5.47296799407766e+66,2.1267204145710936e+66
329,8.676406416252798e+66,3.371532716896538e+66
330,1.3754881881541025e+67,5.344958737040307e+66
331,2.1805891344686068e+67,8.473470762271175e+66
332,3.4569318837580783e+67,1.3433163901059878e+67
333,5.480343756668032e+67,2.1295865349085315e+67
334,8.688099361275154e+67,3.3760764352066775e+67
335,1.3773418942844259e+68,5.3521619852124876e+67
336,2.183527852140698e+68,8.484890216710996e+67
337,3.461590692085348e+68,1.3451267392233039e+68
338,5.487729459362904e+68,2.132456517834457e+68
339,8.699808064545422e+68,3.38062627695616e+68
340,1.3791980986015364e+69,5.359374940996416e+68
341,2.1864705302386296e+69,8.496325060823285e+68
342,3.466255778955486e+69,1.3469395280963991e+69
343,5.495125115558272e+69,2.135330368554369e+69
344,8.711532547300541e+69,3.385182250397368e+69
345,1.381056804472169e+70,5.366597617474764e+69
346,2.1894171740997552e+70,8.507775315348265e+69
347,3.4709271528299086e+70,1.3487547600132637e+70
348,5.502530738668184e+70,2.1382080922807844e+70
349,8.723272830806077e+70,3.389744363793809e+70
350,1.3829180152675965e+71,5.373830027747835e+70
351,2.19236778906862e+71,8.51924100105411e+70
352,3.475604822181429e+71,1.3505724382663172e+71
353,5.509946342124765e+71,2.1410896942332429e+71
354,8.735028936356244e+71,3.3943126254201236e+71
355,1.3847817343636333e+72,5.381072184933583e+71
356,2.1953223804969723e+72,8.530722138736979e+71
357,3.4802887954942825e+72,1.352392566152417e+72
358,5.517371939378245e+72,2.143975179638318e+72
359,8.746800885273964e+72,3.398887043562107e+72
360,1.3866479651406457e+73,5.388324102167646e+72
361,2.1982809537437735e+73,8.54221874922106e+72
362,3.4849790812641384e+73,1.3542151469728636e+73
363,5.524807543896976e+73,2.1468645537296294e+73
364,8.758588698910889e+73,3.403467626516718e+73
365,1.3885167109835534e+74,5.395585792603361e+73
366,2.2012435141752059e+74,8.553730853358606e+73
367,3.489675687998114e+74,1.3560401840334066e+74
368,5.532253169167464e+74,2.1497578217478472e+74
369,8.770392398647445e+74,3.4080543825920996e+74
370,1.3903879752818392e+75,5.402857269411792e+74
371,2.2042100671646845e+75,8.565258472029971e+74
