DateTime,open,high,low,close,actual,mid,SD,lower,upper
2025-04-07 14:36:00,2204445,2204885,2202780,2203110,2203.11,2202.1334313284874,2.7216781716471243,2198.050914071017,2206.215948585958
2025-04-07 14:37:00,2202995,2203370,2201835,2202035,2202.035,2202.2119943750868,1.7042592668673922,2199.6556054747857,2204.768383275388
2025-04-07 14:38:00,2201940,2202350,2201440,2201455,2201.455,2202.191909379871,1.0973738930785202,2200.5458485402532,2203.837970219489
2025-04-07 14:39:00,2201340,2202270,2201010,2201665,2201.665,2202.125968350549,0.9136813854200504,2200.7554462724192,2203.496490428679
2025-04-07 14:40:00,2201600,2202740,2201355,2201765,2201.765,2202.087437943986,0.7839278980755767,2200.911546096873,2203.2633297910993
2025-04-07 14:41:00,2201565,2202110,2200175,2200345,2200.345,2202.0600999440867,0.7150348123318235,2200.987547725589,2203.1326521625842
2025-04-07 14:42:00,2200275,2201195,2199845,2200220,2200.22,2201.9056387887535,1.1740498611407888,2200.1445639970425,2203.6667135804646
2025-04-07 14:43:00,2200150,2201175,2200140,2200720,2200.72,2201.760329282338,1.2719081588790169,2199.8524670440192,2203.6681915206564
2025-04-07 14:44:00,2200695,2202165,2200615,2200995,2200.995,2201.673193841445,1.0653758745772168,2200.075130029579,2203.271257653311
2025-04-07 14:45:00,2200875,2201585,2199650,2200020,2200.02,2201.6160033012125,0.8870404062162288,2200.285442691888,2202.946563910537
2025-04-07 14:46:00,2200125,2201560,2200125,2200315,2200.315,2201.473885033394,1.1573941296688668,2199.7377938388904,2203.209976227897
2025-04-07 14:47:00,2200310,2201480,2200310,2201190,2201.19,2201.375813735706,1.0633380806464703,2199.7808066147363,2202.9708208566753
2025-04-07 14:48:00,2201240,2202485,2201160,2202390,2202.39,2201.3639234262837,0.8066245966047951,2200.1539865313766,2202.5738603211908
2025-04-07 14:49:00,2202400,2202640,2200760,2200760,2200.76,2201.457770002728,0.9073669291303661,2200.0967196090323,2202.8188203964237
2025-04-07 14:50:00,2200700,2201945,2200450,2201645,2201.645,2201.389583006341,0.8354152899308136,2200.136460071445,2202.642705941237
2025-04-07 14:51:00,2201575,2203050,2201080,2203050,2203.05,2201.4162659135036,0.7246155657074088,2200.3293425649426,2202.5031892620646
2025-04-07 14:52:00,2203010,2203475,2201795,2202670,2202.67,2201.5633666053927,1.138569314932276,2199.8555126329943,2203.271220577791
2025-04-07 14:53:00,2202645,2202875,2202030,2202575,2202.575,2201.6564359661284,1.039063795469943,2200.0978402729233,2203.2150316593334
2025-04-07 14:54:00,2202710,2202835,2200810,2201000,2201.0,2201.7351670587436,0.9440240264055296,2200.3191310191355,2203.1512030983517
2025-04-07 14:55:00,2200955,2202430,2200845,2202290,2202.29,2201.6643515826427,0.8579761261022955,2200.3773873934892,2202.951315771796
2025-04-07 14:56:00,2202335,2203075,2202335,2202825,2202.825,2201.7248118006373,0.8002527322392095,2200.5244327022783,2202.9251908989963
2025-04-07 14:57:00,2202780,2205315,2202395,2204830,2204.83,2201.8217081387793,0.9327702441072402,2200.4225527726185,2203.22086350494
2025-04-07 14:58:00,2204915,2207095,2203685,2204555,2204.555,2202.0901407727215,1.8511192597888568,2199.313461883038,2204.866819662405
2025-04-07 14:59:00,2204660,2205800,2204650,2205230,2205.23,2202.3004544671276,1.8119750416889526,2199.582491904594,2205.018417029661
2025-04-07 15:00:00,2205255,2205540,2203950,2204650,2204.65,2202.555954886592,2.0082198619914284,2199.543625093605,2205.5682846795794
2025-04-07 15:01:00,2204620,2205355,2204090,2205200,2205.2,2202.733230837571,1.7137672214412645,2200.1625800054094,2205.303881669733
2025-04-07 15:02:00,2205140,2207760,2205140,2206190,2206.19,2202.948360765367,1.7700696835646275,2200.29325624002,2205.6034652907138
2025-04-07 15:03:00,2206170,2207435,2205620,2207435,2207.435,2203.2319762760726,2.1439392834220348,2200.0160673509395,2206.4478852012057
2025-04-07 15:04:00,2207635,2210295,2206865,2210295,2210.295,2203.5994661026375,2.7060194324806885,2199.5404369539165,2207.6584952513585
2025-04-07 15:05:00,2210380,2212560,2210380,2210960,2210.96,2204.1891819901603,4.096952167577087,2198.0437537387947,2210.3346102415258
2025-04-07 15:06:00,2210805,2211380,2209545,2210150,2210.15,2204.7744209169473,4.479385202196443,2198.0553431136527,2211.493498720242
2025-04-07 15:07:00,2210025,2213225,2209940,2212365,2212.365,2205.233100571485,3.964696390422523,2199.2860559858514,2211.1801451571187
2025-04-07 15:08:00,2212375,2213570,2212375,2212620,2212.62,2205.8578252340717,4.617648402701902,2198.931352630019,2212.7842978381245
2025-04-07 15:09:00,2212570,2215035,2212515,2214965,2214.965,2206.4404957154456,4.631043410470925,2199.493930599739,2213.387060831152
2025-04-07 15:10:00,2214875,2218850,2214875,2218490,2218.49,2207.1854533621076,5.479439002064422,2198.966294859011,2215.404611865204
2025-04-07 15:11:00,2218410,2218535,2216500,2218350,2218.35,2208.1747718933757,7.083697019666308,2197.549226363876,2218.800317422875
2025-04-07 15:12:00,2218470,2221040,2218470,2220550,2220.55,2209.049022216646,6.985099764558957,2198.5713725698074,2219.5266718634844
2025-04-07 15:13:00,2220270,2220310,2215770,2215770,2215.77,2210.0496057488954,7.580663778617109,2198.6786100809695,2221.4206014168212
2025-04-07 15:14:00,2215700,2217195,2214280,2217195,2217.195,2210.518465436386,5.350281259022301,2202.4930435478527,2218.5438873249195
2025-04-07 15:15:00,2216860,2218465,2216505,2218465,2218.465,2211.1012919888353,4.833744017241925,2203.850675962972,2218.3519080146984
2025-04-07 15:16:00,2218430,2218880,2214690,2214735,2214.735,2211.7407585271335,4.977791709323864,2204.2740709631476,2219.2074460911194
2025-04-07 15:17:00,2214910,2216035,2214910,2215610,2215.61,2211.980280895221,3.2977418227793205,2207.033668161052,2216.9268936293897
2025-04-07 15:18:00,2215495,2215800,2213465,2213795,2213.795,2212.2979194349746,2.8039782107897455,2208.09195211879,2216.5038867511594
2025-04-07 15:19:00,2213780,2214940,2213660,2214940,2214.94,2212.4177836546505,1.8587070162498465,2209.6297231302756,2215.2058441790255
2025-04-07 15:20:00,2215290,2217545,2215290,2217355,2217.355,2212.640876164955,1.839217033270615,2209.882050615049,2215.399701714861
2025-04-07 15:21:00,2217245,2217245,2215415,2216130,2216.13,2213.0578928436853,2.8961371505612137,2208.7136871178436,2217.402098569527
2025-04-07 15:22:00,2216090,2217335,2216090,2217235,2217.235,2213.315820504072,2.429005781755817,2209.672311831438,2216.9593291767055
2025-04-07 15:23:00,2217205,2218070,2217205,2218050,2218.05,2213.6588253144196,2.645636147740959,2209.690371092808,2217.627279536031
2025-04-07 15:24:00,2217935,2220240,2217935,2220240,2220.24,2214.0403879391324,2.930249740823326,2209.6450133278972,2218.4357625503676
2025-04-07 15:25:00,2220230,2224295,2220230,2224295,2224.295,2214.584321987219,3.8927124115228118,2208.7452533699347,2220.4233906045033
2025-04-07 15:26:00,2224410,2225320,2223190,2223220,2223.22,2215.4390417519853,5.908675376442059,2206.5760286873224,2224.3020548166483
2025-04-07 15:27:00,2223180,2223265,2222375,2222860,2222.86,2216.1025766797893,5.512868441104041,2207.833274018133,2224.3718793414455
2025-04-07 15:28:00,2222945,2222970,2222300,2222305,2222.305,2216.682838756216,4.9256198622833285,2209.294408962791,2224.071268549641
2025-04-07 15:29:00,2222165,2223790,2222165,2223625,2223.625,2217.164179146587,4.229722101168986,2210.8195959948334,2223.50876229834
2025-04-07 15:30:00,2223770,2224450,2222895,2223800,2223.8,2217.7267678453427,4.371550138422972,2211.169442637708,2224.2840930529774
