DateTime,open,high,low,close,rolling_avg_15,rolling_sd_15,rolling_avg_20,rolling_sd_20
2025-03-21 10:42:00,2331455,2331895,2331100,2331260,2330213.0,974.47,2329311.75,1829.44
2025-03-21 10:43:00,2331405,2331520,2331120,2331265,2330438.67,765.05,2329579.0,1693.22
2025-03-21 10:44:00,2331290,2331345,2330705,2330705,2330549.0,663.01,2329788.5,1547.06
2025-03-21 10:45:00,2330665,2331090,2330635,2330930,2330618.33,643.25,2330018.75,1332.22
2025-03-21 10:46:00,2330960,2331255,2330615,2331155,2330667.67,654.82,2330242.75,1096.13
2025-03-21 10:47:00,2331040,2332245,2331040,2332170,2330778.33,758.36,2330471.0,987.9
2025-03-21 10:48:00,2332140,2333500,2332140,2333500,2331021.33,989.97,2330752.0,1011.13
2025-03-21 10:49:00,2333465,2334020,2333150,2333400,2331260.0,1104.57,2330969.5,1090.49
2025-03-21 10:50:00,2333475,2334330,2333465,2334150,2331533.0,1277.92,2331182.5,1269.84
2025-03-21 10:51:00,2334175,2334635,2334120,2334390,2331860.67,1341.1,2331381.25,1442.7
2025-03-21 10:52:00,2334330,2334550,2334045,2334435,2332144.0,1409.03,2331577.5,1578.51
2025-03-21 10:53:00,2334565,2335290,2334400,2335290,2332451.0,1561.82,2331849.25,1727.2
2025-03-21 10:54:00,2335360,2335755,2334645,2334710,2332668.67,1637.29,2332093.75,1770.39
2025-03-21 10:55:00,2334585,2334875,2334460,2334625,2332899.33,1653.96,2332322.25,1788.23
2025-03-21 10:56:00,2334635,2334780,2334080,2334165,2333076.67,1636.29,2332556.75,1700.57
2025-03-21 10:57:00,2334075,2334180,2333830,2334010,2333260.0,1570.97,2332748.0,1633.56
2025-03-21 10:58:00,2333955,2334215,2333505,2333520,2333410.33,1471.14,2332889.75,1566.76
2025-03-21 10:59:00,2333465,2333715,2333260,2333400,2333590.0,1267.64,2332987.5,1532.49
2025-03-21 11:00:00,2333380,2333990,2333370,2333920,2333789.33,1032.82,2333125.25,1483.08
2025-03-21 11:01:00,2334075,2334755,2333980,2334650,2334022.33,752.17,2333282.5,1468.9
2025-03-21 11:02:00,2334725,2335015,2334300,2334915,2334205.33,584.57,2333465.25,1430.91
2025-03-21 11:03:00,2334865,2334990,2334545,2334605,2334279.0,558.37,2333632.25,1353.41
2025-03-21 11:04:00,2334565,2334600,2334215,2334365,2334343.33,502.68,2333815.25,1172.06
2025-03-21 11:05:00,2334380,2334755,2334300,2334640,2334376.0,505.13,2334000.75,967.04
2025-03-21 11:06:00,2334645,2334890,2334485,2334755,2334400.33,514.56,2334180.75,710.48
2025-03-21 11:07:00,2334840,2335325,2334765,2335150,2334448.0,549.9,2334329.75,563.97
2025-03-21 11:08:00,2335190,2335405,2335085,2335125,2334437.0,533.25,2334411.0,555.12
2025-03-21 11:09:00,2335210,2335630,2334880,2334880,2334448.33,541.22,2334485.0,510.08
2025-03-21 11:10:00,2334875,2334980,2333780,2333835,2334395.67,560.88,2334469.25,525.59
2025-03-21 11:11:00,2333765,2333945,2332940,2332990,2334317.33,667.34,2334399.25,621.23
2025-03-21 11:12:00,2333015,2333070,2332145,2332650,2334226.67,792.69,2334310.0,733.84
2025-03-21 11:13:00,2332670,2333040,2332425,2332785,2334177.67,859.41,2334184.75,770.62
