,arima_forecast,garch_forecast
198,-3.569586013522538e+42,1.337903364345732e+42
199,-5.773932159883845e+42,2.1641062109018825e+42
200,-9.339540344635661e+42,3.5005186599215856e+42
201,-1.5107038225200064e+43,5.662213262329931e+42
202,-2.443617089450658e+43,9.158831059858753e+42
203,-3.952637433520644e+43,1.4814734538719248e+43
204,-6.393531436785334e+43,2.396335929970803e+43
205,-1.034176418168278e+44,3.8761584787502183e+43
206,-1.6728170878176268e+44,6.269824011097756e+43
207,-2.7058410539383544e+44,1.0141663026846316e+44
208,-4.376794009636776e+44,1.640450015312207e+44
209,-7.079619763662877e+44,2.6534861645611653e+44
210,-1.1451536418595466e+45,4.29210811655087e+44
211,-1.8523266887792547e+45,6.9426373237595244e+44
212,-2.996204209238104e+45,1.1229962456768778e+45
213,-4.846466726327003e+45,1.81648631347698e+45
214,-7.8393320645416e+45,2.938231129223736e+45
215,-1.2680398048399504e+46,4.752693210340997e+45
216,-2.0510994220176103e+46,7.687650071827078e+45
217,-3.3177261651750565e+46,1.2435047037808395e+46
218,-5.366539909732703e+46,2.011413024627398e+46
219,-8.680568910434565e+46,3.2535320078321014e+46
220,-1.4041128525317588e+47,5.262703580210175e+46
221,-2.271202409642727e+47,8.512609959418064e+46
222,-3.673750565181339e+47,1.3769448956555066e+47
223,-5.942422021863419e+47,2.227257274455655e+47
224,-9.612078680737619e+47,3.6026677481919567e+47
225,-1.554787866374365e+48,5.827443040694364e+47
226,-2.5149245961430736e+48,9.426096094922983e+47
227,-4.067979858264788e+48,1.5247045225539486e+48
228,-6.580101905491311e+48,2.466263719026364e+48
229,-1.0643548541343858e+49,3.989269161212536e+48
230,-1.721631779857434e+49,6.45278455739682e+48
231,-2.7848005520918477e+49,1.0437608208798554e+49
232,-4.5045138023493334e+49,1.6883201996182707e+49
233,-7.28621106467176e+49,2.7309178879087113e+49
234,-1.1785705185597754e+50,4.4173566792519635e+49
235,-1.9063796737280387e+50,7.145231322452788e+49
236,-3.083636832223288e+50,1.1557665445301095e+50
237,-4.987892099399602e+50,1.8694934357933742e+50
238,-8.068092628571722e+50,3.023972032254533e+50
239,-1.3050426385736935e+51,4.891382166301598e+50
240,-2.110952819832574e+51,7.911984383987665e+50
241,-3.41454116198784e+51,1.2797915755537155e+51
242,-5.523141605710536e+51,2.070108328541432e+51
243,-8.933877715789972e+51,3.348473746627453e+51
244,-1.4450864514892477e+52,5.4162752148112446e+51
245,-2.33747866123902e+52,8.761017532876147e+51
246,-3.7809547561095626e+52,1.41712570294562e+52
247,-6.115828608321878e+52,2.2922511573719367e+52
248,-9.892569993314267e+52,3.7077976622336476e+52
249,-1.6001583324205423e+53,5.997494410615587e+52
250,-2.5883129364213423e+53,9.70116022558152e+52
251,-4.186688105240196e+53,1.5691971226488416e+53
252,-6.772116711202174e+53,2.5382320799487675e+53
253,-1.0954139309479946e+54,4.105680541145621e+53
254,-1.771870939746294e+54,6.641084099087597e+53
255,-2.866064177584817e+54,1.074218940542501e+54
256,-4.6359606028704906e+54,1.737587289970912e+54
257,-7.498830933185304e+54,2.810609156401301e+54
258,-1.212962537465888e+55,4.5462601364787115e+54
259,-1.962009985829519e+55,7.353737242854258e+54
260,-3.173620837900781e+55,1.1894931177173515e+55
261,-5.133444424595915e+55,1.9240473658095678e+55
262,-8.303528684241252e+55,3.112214951678602e+55
263,-1.3431252567898331e+56,5.034118222643851e+55
264,-2.172552807399132e+56,8.142865024758735e+55
265,-3.5141813297584454e+56,1.3171373392303035e+56
266,-5.684313116055846e+56,2.1305164277189845e+56
267,-9.19457835819346e+56,3.446185992595866e+56
268,-1.4872557063432708e+57,5.574328243166416e+56
269,-2.405688928714746e+57,9.016673919899693e+56
270,-3.891287286414308e+57,1.4584790315759697e+57
271,-6.294295394832864e+57,2.359141635201156e+57
272,-1.018124635920187e+58,3.8159953859094514e+57
273,-1.6468527599110848e+58,6.172508071581121e+57
274,-2.6638428313597614e+58,9.984251038252738e+57
275,-4.3088603929412077e+58,1.6149880670681075e+58
276,-6.969734725820999e+58,2.6123005589298757e+58
277,-1.127379346703701e+59,4.2254889366297425e+58
278,-1.8235761350649518e+59,6.834878434085902e+58
279,-2.9496991674554957e+59,1.1055658625388087e+59
280,-4.771243169497688e+59,1.7882920496663483e+59
281,-7.717655289612447e+59,2.8926259061183803e+59
282,-1.248358154328857e+60,4.678925142181508e+59
283,-2.0192636532715722e+60,7.568327601516787e+59
284,-3.266230678499283e+60,1.2242038704037641e+60
285,-5.283244131040231e+60,1.980193241121332e+60
286,-8.545835029936073e+60,3.20303289916028e+60
287,-1.3823191688191622e+61,5.181019478328018e+60
288,-2.2359503521789762e+61,8.380483023403096e+60
289,-3.616729110166401e+61,1.3555728944723525e+61
290,-5.850187793113397e+61,2.1926873034604152e+61
291,-9.462886539799041e+61,3.546749592265888e+61
292,-1.5306555076833605e+62,5.736993437407088e+61
293,-2.475889648837702e+62,9.279790649055948e+61
294,-4.0048394445719855e+62,1.501039097043605e+62
295,-6.477970043749316e+62,2.427984052725042e+62
296,-1.0478346627500918e+63,3.927350441369528e+62
297,-1.6949097835363304e+63,6.352628828848462e+62
298,-2.7415767739421627e+63,1.0275602760583762e+63
299,-4.4345978059887725e+63,1.6621152429655884e+63
300,-7.173119457312453e+63,2.688530439786689e+63
301,-1.1602775493955307e+64,4.348793476415554e+63
302,-1.8767901463831114e+64,7.034327906666731e+63
303,-3.035774720794842e+64,1.1378275231247624e+64
304,-4.910473434218331e+64,1.8404764315198268e+64
305,-7.942865187918373e+64,2.9770359972286713e+64
306,-1.2847866552706105e+65,4.8154614625934876e+64
307,-2.0781880473965889e+65,7.789179949221102e+64
308,-3.3615429788476266e+65,1.2599275220587473e+65
309,-5.437415162114709e+65,2.0379775164904657e+65
310,-8.795212148479e+65,3.296501016926738e+65
311,-1.4226568034703374e+66,5.332207478575418e+65
