open,high,low,close,close_diff,close_diff_percent
2359550,2360070,2359525,2359640,60.0,0.2542825418072603
2359655,2360005,2359500,2359850,210.0,0.8899662660399876
2359890,2360495,2359630,2360405,555.0,2.3518443968906233
2360440,2360605,2359955,2360020,-385.0,-1.6310760229709675
2359970,2360115,2358680,2358860,-1160.0,-4.915212582944362
2358815,2359650,2358815,2359615,755.0,3.200698642564781
2359615,2359615,2358775,2358885,-730.0,-3.093725035652195
2358925,2359245,2357475,2357550,-1335.0,-5.659453512995016
2357525,2357525,2356815,2357250,-300.0,-1.2725074759811772
2357260,2358810,2357215,2358410,1160.0,4.920988439920393
2358450,2358800,2358270,2358700,290.0,1.2296420045698753
2358710,2358710,2358145,2358530,-170.0,-0.7207359986438622
2358475,2358670,2357855,2357930,-600.0,-2.5439574650309993
2357895,2358275,2357725,2358095,165.0,0.6997663204599824
2358100,2358305,2357860,2358065,-30.0,-0.12722133756248866
2358065,2358720,2357920,2358570,505.0,2.1415864278551133
2358570,2359655,2358570,2359225,655.0,2.777106467053425
2359255,2359475,2359030,2359425,200.0,0.8477360150038749
2359450,2360990,2359365,2360855,1430.0,6.060798711551296
2360905,2360905,2360125,2360825,-30.0,-0.12707260717004232
2360830,2361475,2360730,2361295,470.0,1.990829476983258
2361290,2361680,2361265,2361335,40.0,0.16939857154563143
2361335,2361335,2360750,2361050,-285.0,-1.206944376803687
2361030,2361185,2360640,2360730,-320.0,-1.355329196756072
2360755,2360755,2359860,2360090,-640.0,-2.7110258267570853
2360125,2360785,2360065,2360685,595.0,2.521090297404882
2360690,2360725,2360135,2360260,-425.0,-1.8003249056952608
2360290,2360310,2359330,2359345,-915.0,-3.876691550930289
2359375,2359445,2358840,2359115,-230.0,-0.9748468324899395
2359100,2359480,2358675,2358985,-130.0,-0.5510541029152272
2358950,2359090,2358575,2358690,-295.0,-1.2505378372473785
2358660,2358710,2357840,2358245,-445.0,-1.886640465682543
2358140,2358785,2357955,2358770,525.0,2.2262317952548294
2358775,2359285,2358495,2358895,125.0,0.5299372130385116
2358870,2359065,2358665,2358950,55.0,0.2331600177196691
2358915,2359720,2358810,2359685,735.0,3.1157930435155023
2359680,2360210,2359355,2359580,-105.0,-0.4449746470402971
2359550,2359985,2358985,2359880,300.0,1.2714127090407423
2359885,2360100,2359685,2360055,175.0,0.7415631303286929
2360090,2360555,2359885,2359925,-130.0,-0.5508346203797476
2359910,2359910,2358835,2358895,-1030.0,-4.364545483437343
2358935,2358965,2358330,2358615,-280.0,-1.1869964538480104
2358610,2358675,2356575,2356810,-1805.0,-7.652796238470927
2356875,2357970,2356780,2357925,1115.0,4.730971100768144
2357900,2358060,2357585,2357845,-80.0,-0.33928135967031814
2357960,2357990,2357535,2357660,-185.0,-0.7846147647538881
2357645,2357950,2357555,2357875,215.0,0.9119211421504403
2357890,2358295,2357655,2358190,315.0,1.335948682605892
2358220,2359270,2358070,2359120,930.0,3.9437025854582863
2359105,2359785,2358930,2359000,-120.0,-0.5086642476859193
2358970,2359050,2358535,2358860,-140.0,-0.5934718100886194
2358830,2359200,2358690,2358845,-15.0,-0.0635900392564892
2358825,2359340,2358620,2359230,385.0,1.6321547197883923
2359245,2359635,2358875,2359090,-140.0,-0.5934139528573912
2359125,2359315,2358935,2359215,125.0,0.5298653294283362
2359205,2359645,2358905,2359600,385.0,1.6318987459817968
2359615,2359885,2359165,2359885,285.0,1.2078318359054485
2359755,2360470,2359755,2360420,535.0,2.267059623668466
2360430,2361530,2360260,2361300,880.0,3.7281500749863916
2361185,2361285,2360665,2361285,-15.0,-0.06352432981859835
2361270,2361590,2361130,2361450,165.0,0.6987720669049402
2361350,2361350,2360695,2361255,-195.0,-0.8257638315445348
2361285,2361505,2360890,2361100,-155.0,-0.6564305845835339
2361105,2361240,2360575,2360895,-205.0,-0.8682393799497312
2360810,2361635,2360770,2361470,575.0,2.4355170390899517
2361590,2361785,2360820,2361025,-445.0,-1.884419450596253
2361035,2361035,2360365,2360750,-275.0,-1.1647483614107834
2360740,2362190,2360705,2361910,1160.0,4.913692682411153
2361885,2362090,2361460,2362030,120.0,0.5080633893750353
2362030,2362450,2361965,2362350,320.0,1.354766874257507
2362370,2362450,2361980,2362165,-185.0,-0.783118504878999
2362190,2362450,2361795,2361815,-350.0,-1.481691583780087
2361865,2361865,2361480,2361830,15.0,0.06351047816988142
2361835,2362125,2361700,2361730,-100.0,-0.42340049876576913
2361760,2362125,2361605,2362050,320.0,1.35493896423311
2362040,2362040,2360655,2360830,-1220.0,-5.165004974492238
2360820,2360820,2359515,2360335,-495.0,-2.096720221278492
2360365,2360445,2359975,2360110,-225.0,-0.9532545168378093
2360150,2360405,2359395,2359830,-280.0,-1.1863853803428803
2359685,2360080,2359410,2359810,-20.0,-0.08475186771939036
2359845,2359845,2359405,2359640,-170.0,-0.7203969811131472
2359665,2359920,2359210,2359805,165.0,0.6992592090315775
2359805,2359805,2359245,2359475,-330.0,-1.3984206322137371
2359460,2359790,2358715,2359320,-155.0,-0.6569257991717592
2359320,2359825,2359095,2359485,165.0,0.6993540511679441
2359485,2359765,2359155,2359655,170.0,0.7204962099782719
2359715,2360315,2359350,2360215,560.0,2.373228289729301
2360310,2360470,2359475,2359475,-740.0,-3.135307588503222
2359515,2359530,2358580,2359320,-155.0,-0.6569257991717592
2359385,2359585,2358905,2359300,-20.0,-0.08477018802022229
2359255,2359670,2359065,2359465,165.0,0.6993599796545347
2359585,2359585,2358870,2359255,-210.0,-0.8900322742655398
2359270,2359715,2359050,2359525,270.0,1.144429067649888
2359605,2359690,2359090,2359480,-45.0,-0.1907163518077848
2359450,2359460,2358055,2358225,-1255.0,-5.318968586298656
2358320,2358590,2357745,2358360,135.0,0.572464459498434
2358425,2358785,2357810,2358600,240.0,1.0176563374542091
2358635,2359380,2358485,2358860,260.0,1.1023488510142343
2358885,2359360,2358565,2358995,135.0,0.5723103533061824
2359060,2359195,2358685,2358870,-125.0,-0.5298866678393743
2358900,2358900,2358020,2358485,-385.0,-1.6321374217320717
2358585,2358870,2358265,2358750,265.0,1.1236026517025266
2358730,2359310,2358510,2359130,380.0,1.6110227874932548
2359105,2359735,2358795,2359255,125.0,0.5298563453481897
2359345,2360010,2359095,2359795,540.0,2.2888581353019966
2359835,2360015,2359415,2359420,-375.0,-1.5891210889085183
2359485,2359650,2358790,2359115,-305.0,-1.2926905764976127
2359200,2359575,2358775,2359380,265.0,1.1233025944057395
2359405,2359425,2358815,2359015,-365.0,-1.5470165891040555
2359085,2359335,2358640,2359195,180.0,0.7630303325756316
2359190,2359485,2358785,2359270,75.0,0.3179050481194601
2359415,2359685,2358990,2359505,235.0,0.9960708185152711
2359555,2359895,2359300,2359620,115.0,0.4873903636570809
2359660,2359670,2358950,2359210,-410.0,-1.7375679134778999
2359290,2359475,2358760,2359025,-185.0,-0.7841607995895394
2359105,2359105,2358180,2358540,-485.0,-2.055934125326786
2358645,2359420,2358335,2359235,695.0,2.9467382363668193
2359300,2360620,2359215,2360610,1375.0,5.828160399452553
2360610,2361065,2360300,2360655,45.0,0.1906286934305612
2360705,2360995,2360020,2360745,90.0,0.3812501191413631
2360955,2361525,2360460,2361265,520.0,2.2026944883934974
2361430,2361865,2360930,2361655,390.0,1.6516570567048916
2361640,2361640,2360600,2361115,-540.0,-2.2865321141318784
2361180,2361555,2360860,2361440,325.0,1.37646832111038
2361445,2362585,2361145,2362585,1145.0,4.848736364251316
2362515,2362515,2361685,2362170,-415.0,-1.7565505579697493
2362225,2362500,2361875,2362065,-105.0,-0.444506534246214
2362210,2362375,2361715,2361800,-265.0,-1.1218996937001346
2361910,2362025,2361240,2361500,-300.0,-1.2702176306211843
2361655,2362170,2361330,2361645,145.0,0.6140165149259857
2361615,2361960,2361165,2361620,-25.0,-0.10585841648480532
2361780,2361955,2361235,2361655,35.0,0.14820335193732603
2361790,2361985,2361255,2361620,-35.0,-0.14820115554536883
2361650,2361955,2361275,2361780,160.0,0.6775010374227008
2361875,2362505,2361520,2362425,645.0,2.7309910321871023
2362455,2364855,2362225,2364720,2295.0,9.714594114098585
2364810,2366450,2364550,2365380,660.0,2.791028113264815
2365425,2365815,2365095,2365670,290.0,1.226018652393801
2365655,2365655,2364680,2365035,-635.0,-2.6842289922091034
2365130,2365130,2363510,2364165,-870.0,-3.6785924944027215
